CO2_Limit,AC
10205.5182,1294999.976
10206.5182,1294503.707
10207.5182,1294007.438
10208.5182,1293511.17
10209.5182,1293014.901
10210.5182,1292518.632
10211.5182,1292022.364
10212.5182,1291526.095
10213.5182,1291029.826
10214.5182,1290533.558
10215.5182,1290037.289
10216.5182,1289541.02
10217.5182,1289044.752
10218.5182,1288548.483
10219.5182,1288052.215
10220.5182,1287555.946
10221.5182,1287059.677
10222.5182,1286563.409
10223.5182,1286067.14
10224.5182,1285570.871
10225.5182,1285074.603
10226.5182,1284578.334
10227.5182,1284082.065
10228.5182,1283585.797
10229.5182,1283089.528
10230.5182,1282593.259
10231.5182,1282096.991
10232.5182,1281600.722
10233.5182,1281104.453
10234.5182,1280608.185
10235.5182,1280111.916
10236.5182,1279615.647
10237.5182,1279119.379
10238.5182,1278623.11
10239.5182,1278126.841
10240.5182,1277630.573
10241.5182,1277134.304
10242.5182,1276638.035
10243.5182,1276141.767
10244.5182,1275645.498
10245.5182,1275149.229
10246.5182,1274652.961
10247.5182,1274156.692
10248.5182,1273660.423
10249.5182,1273164.155
10250.5182,1272667.886
10251.5182,1272171.618
10252.5182,1271675.349
10253.5182,1271179.08
10254.5182,1270682.812
10255.5182,1270186.543
10256.5182,1269690.274
10257.5182,1269194.006
10258.5182,1268697.737
10259.5182,1268201.468
10260.5182,1267705.2
10261.5182,1267208.931
10262.5182,1266712.662
10263.5182,1266216.394
10264.5182,1265720.125
10265.5182,1265223.856
10266.5182,1264727.588
10267.5182,1264231.319
10268.5182,1263735.05
10269.5182,1263238.782
10270.5182,1262742.513
10271.5182,1262246.244
10272.5182,1261749.976
10273.5182,1261253.707
10274.5182,1260757.438
10275.5182,1260261.17
10276.5182,1259764.901
10277.5182,1259268.632
10278.5182,1258772.364
10279.5182,1258276.095
10280.5182,1257779.826
10281.5182,1257283.558
10282.5182,1256787.289
10283.5182,1256291.02
10284.5182,1255794.752
10285.5182,1255298.483
10286.5182,1254802.215
10287.5182,1254305.946
10288.5182,1253809.677
10289.5182,1253313.409
10290.5182,1252817.14
10291.5182,1252320.871
10292.5182,1251824.603
10293.5182,1251328.334
10294.5182,1250832.065
10295.5182,1250335.797
10296.5182,1249839.528
10297.5182,1249343.259
10298.5182,1248846.991
10299.5182,1248350.722
10300.5182,1247854.453
10301.5182,1247358.185
10302.5182,1246861.916
10303.5182,1246365.647
10304.5182,1245869.379
10305.5182,1245373.11
10306.5182,1244876.841
10307.5182,1244380.573
10308.5182,1243884.304
10309.5182,1243388.035
10310.5182,1242891.767
10311.5182,1242395.498
10312.5182,1241899.229
10313.5182,1241402.961
10314.5182,1240906.692
10315.5182,1240410.423
10316.5182,1239914.155
10317.5182,1239417.886
10318.5182,1238921.618
10319.5182,1238425.349
10320.5182,1237929.08
10321.5182,1237432.812
10322.5182,1236936.543
10323.5182,1236440.274
10324.5182,1235944.006
10325.5182,1235447.737
10326.5182,1234951.468
10327.5182,1234455.2
10328.5182,1233958.931
10329.5182,1233462.662
10330.5182,1232966.394
10331.5182,1232470.125
10332.5182,1231973.856
10333.5182,1231477.588
10334.5182,1230981.319
10335.5182,1230485.05
10336.5182,1229988.782
10337.5182,1229492.513
10338.5182,1228996.244
10339.5182,1228499.976
10340.5182,1228003.707
10341.5182,1227507.438
10342.5182,1227011.17
10343.5182,1226514.901
10344.5182,1226018.632
10345.5182,1225522.364
10346.5182,1225026.095
10347.5182,1224529.826
10348.5182,1224033.558
10349.5182,1223537.289
10350.5182,1223041.02
10351.5182,1222544.752
10352.5182,1222048.483
10353.5182,1221552.215
10354.5182,1221055.946
10355.5182,1220559.677
10356.5182,1220063.409
10357.5182,1219567.14
10358.5182,1219070.871
10359.5182,1218574.603
10360.5182,1218078.334
10361.5182,1217582.065
10362.5182,1217085.797
10363.5182,1216589.528
10364.5182,1216093.259
10365.5182,1215596.991
10366.5182,1215100.722
10367.5182,1214604.453
10368.5182,1214108.185
10369.5182,1213611.916
10370.5182,1213115.647
10371.5182,1212619.379
10372.5182,1212123.11
10373.5182,1211626.841
10374.5182,1211130.573
10375.5182,1210634.304
10376.5182,1210138.035
10377.5182,1209641.767
10378.5182,1209145.498
10379.5182,1208649.229
10380.5182,1208152.961
10381.5182,1207656.692
10382.5182,1207160.423
10383.5182,1206664.155
10384.5182,1206167.886
10385.5182,1205671.618
10386.5182,1205175.349
10387.5182,1204679.08
10388.5182,1204182.812
10389.5182,1203686.543
10390.5182,1203190.274
10391.5182,1202694.006
10392.5182,1202197.737
10393.5182,1201701.468
10394.5182,1201205.2
10395.5182,1200708.931
10396.5182,1200212.662
10397.5182,1199716.394
10398.5182,1199220.125
10399.5182,1198723.856
10400.5182,1198227.588
10401.5182,1197731.319
10402.5182,1197235.05
10403.5182,1196738.782
10404.5182,1196242.513
10405.5182,1195746.244
10406.5182,1195249.976
10407.5182,1194753.707
10408.5182,1194257.438
10409.5182,1193761.17
10410.5182,1193264.901
10411.5182,1192768.632
10412.5182,1192272.364
10413.5182,1191776.095
10414.5182,1191279.826
10415.5182,1190783.558
10416.5182,1190287.289
10417.5182,1189791.02
10418.5182,1189294.752
10419.5182,1188798.483
10420.5182,1188302.215
10421.5182,1187805.946
10422.5182,1187309.677
10423.5182,1186813.409
10424.5182,1186317.14
10425.5182,1185820.871
10426.5182,1185324.603
10427.5182,1184828.334
10428.5182,1184332.065
10429.5182,1183835.797
10430.5182,1183339.528
10431.5182,1182843.259
10432.5182,1182346.991
10433.5182,1181850.722
10434.5182,1181354.453
10435.5182,1180858.185
10436.5182,1180361.916
10437.5182,1179865.647
10438.5182,1179369.379
10439.5182,1178873.11
10440.5182,1178376.841
10441.5182,1177880.573
10442.5182,1177384.304
10443.5182,1176888.035
10444.5182,1176391.767
10445.5182,1175895.498
10446.5182,1175399.229
10447.5182,1174902.961
10448.5182,1174406.692
10449.5182,1173910.423
10450.5182,1173414.155
10451.5182,1172917.886
10452.5182,1172421.618
10453.5182,1171925.349
10454.5182,1171429.08
10455.5182,1170932.812
10456.5182,1170436.543
10457.5182,1169940.274
10458.5182,1169444.006
10459.5182,1168947.737
10460.5182,1168451.468
10461.5182,1167955.2
10462.5182,1167458.931
10463.5182,1166962.662
10464.5182,1166466.394
10465.5182,1165970.125
10466.5182,1165473.856
10467.5182,1164977.588
10468.5182,1164481.319
10469.5182,1163985.05
10470.5182,1163488.782
10471.5182,1162992.513
10472.5182,1162496.244
10473.5182,1161999.976
10474.5182,1161503.707
10475.5182,1161007.438
10476.5182,1160511.17
10477.5182,1160014.901
10478.5182,1159518.632
10479.5182,1159022.364
10480.5182,1158526.095
10481.5182,1158029.826
10482.5182,1157533.558
10483.5182,1157037.289
10484.5182,1156541.02
10485.5182,1156044.752
10486.5182,1155548.483
10487.5182,1155052.215
10488.5182,1154555.946
10489.5182,1154059.677
10490.5182,1153563.409
10491.5182,1153067.14
10492.5182,1152570.871
10493.5182,1152074.603
10494.5182,1151578.334
10495.5182,1151082.065
10496.5182,1150585.797
10497.5182,1150089.528
10498.5182,1149593.259
10499.5182,1149096.991
10500.5182,1148600.722
10501.5182,1148104.453
10502.5182,1147608.185
10503.5182,1147111.916
10504.5182,1146615.647
10505.5182,1146119.379
10506.5182,1145623.11
10507.5182,1145126.841
10508.5182,1144630.573
10509.5182,1144134.304
10510.5182,1143638.035
10511.5182,1143141.767
10512.5182,1142645.498
10513.5182,1142149.229
10514.5182,1141652.961
10515.5182,1141156.692
10516.5182,1140660.423
10517.5182,1140164.155
10518.5182,1139667.886
10519.5182,1139171.618
10520.5182,1138675.349
10521.5182,1138179.08
10522.5182,1137682.812
10523.5182,1137186.543
10524.5182,1136690.274
10525.5182,1136194.006
10526.5182,1135697.737
10527.5182,1135201.468
10528.5182,1134705.2
10529.5182,1134208.931
10530.5182,1133712.662
10531.5182,1133216.394
10532.5182,1132720.125
10533.5182,1132223.856
10534.5182,1131727.588
10535.5182,1131231.319
10536.5182,1130735.05
10537.5182,1130238.782
10538.5182,1129742.513
10539.5182,1129246.244
10540.5182,1128749.976
10541.5182,1128253.707
10542.5182,1127757.438
10543.5182,1127261.17
10544.5182,1126764.901
10545.5182,1126268.632
10546.5182,1125772.364
10547.5182,1125276.095
10548.5182,1124779.826
10549.5182,1124283.558
10550.5182,1123787.289
10551.5182,1123291.02
10552.5182,1122794.752
10553.5182,1122298.483
10554.5182,1121802.215
10555.5182,1121305.946
10556.5182,1120809.677
10557.5182,1120313.409
10558.5182,1119817.14
10559.5182,1119320.871
10560.5182,1118824.603
10561.5182,1118328.334
10562.5182,1117832.065
10563.5182,1117335.797
10564.5182,1116839.528
10565.5182,1116343.259
10566.5182,1115846.991
10567.5182,1115350.722
10568.5182,1114990.261
10569.5182,1114957.056
10570.5182,1114923.851
10571.5182,1114890.646
10572.5182,1114857.44
10573.5182,1114824.235
10574.5182,1114791.03
10575.5182,1114757.825
10576.5182,1114724.619
10577.5182,1114691.414
10578.5182,1114658.209
10579.5182,1114625.004
10580.5182,1114591.798
10581.5182,1114558.593
10582.5182,1114525.388
10583.5182,1114492.183
10584.5182,1114458.977
10585.5182,1114425.772
