CO2_Limit,Generator,AP_g
10205.5182,Diesel,874.9998867
10205.5182,OCGT,2444
10205.5182,CCGT,10070
10205.5182,Coal,0.0001230608923
10206.5182,Diesel,872.6839663
10206.5182,OCGT,2444
10206.5182,CCGT,10070
10206.5182,Coal,2.514550922
10207.5182,Diesel,870.3680459
10207.5182,OCGT,2444
10207.5182,CCGT,10070
10207.5182,Coal,5.028978782
10208.5182,Diesel,868.0521255
10208.5182,OCGT,2444
10208.5182,CCGT,10070
10208.5182,Coal,7.543406643
10209.5182,Diesel,865.7362051
10209.5182,OCGT,2444
10209.5182,CCGT,10070
10209.5182,Coal,10.0578345
10210.5182,Diesel,863.4202847
10210.5182,OCGT,2444
10210.5182,CCGT,10070
10210.5182,Coal,12.57226236
10211.5182,Diesel,861.1043643
10211.5182,OCGT,2444
10211.5182,CCGT,10070
10211.5182,Coal,15.08669023
10212.5182,Diesel,858.7884439
10212.5182,OCGT,2444
10212.5182,CCGT,10070
10212.5182,Coal,17.60111809
10213.5182,Diesel,856.4725235
10213.5182,OCGT,2444
10213.5182,CCGT,10070
10213.5182,Coal,20.11554595
10214.5182,Diesel,854.1566031
10214.5182,OCGT,2444
10214.5182,CCGT,10070
10214.5182,Coal,22.62997381
10215.5182,Diesel,851.8406827
10215.5182,OCGT,2444
10215.5182,CCGT,10070
10215.5182,Coal,25.14440167
10216.5182,Diesel,849.5247623
10216.5182,OCGT,2444
10216.5182,CCGT,10070
10216.5182,Coal,27.65882953
10217.5182,Diesel,847.2088419
10217.5182,OCGT,2444
10217.5182,CCGT,10070
10217.5182,Coal,30.17325739
10218.5182,Diesel,844.8929215
10218.5182,OCGT,2444
10218.5182,CCGT,10070
10218.5182,Coal,32.68768525
10219.5182,Diesel,842.5770011
10219.5182,OCGT,2444
10219.5182,CCGT,10070
10219.5182,Coal,35.20211311
10220.5182,Diesel,840.2610807
10220.5182,OCGT,2444
10220.5182,CCGT,10070
10220.5182,Coal,37.71654097
10221.5182,Diesel,837.9451603
10221.5182,OCGT,2444
10221.5182,CCGT,10070
10221.5182,Coal,40.23096883
10222.5182,Diesel,835.6292399
10222.5182,OCGT,2444
10222.5182,CCGT,10070
10222.5182,Coal,42.74539669
10223.5182,Diesel,833.3133195
10223.5182,OCGT,2444
10223.5182,CCGT,10070
10223.5182,Coal,45.25982455
10224.5182,Diesel,830.9973991
10224.5182,OCGT,2444
10224.5182,CCGT,10070
10224.5182,Coal,47.77425241
10225.5182,Diesel,828.6814787
10225.5182,OCGT,2444
10225.5182,CCGT,10070
10225.5182,Coal,50.28868027
10226.5182,Diesel,826.3655583
10226.5182,OCGT,2444
10226.5182,CCGT,10070
10226.5182,Coal,52.80310814
10227.5182,Diesel,824.0496379
10227.5182,OCGT,2444
10227.5182,CCGT,10070
10227.5182,Coal,55.317536
10228.5182,Diesel,821.7337175
10228.5182,OCGT,2444
10228.5182,CCGT,10070
10228.5182,Coal,57.83196386
10229.5182,Diesel,819.4177971
10229.5182,OCGT,2444
10229.5182,CCGT,10070
10229.5182,Coal,60.34639172
10230.5182,Diesel,817.1018767
10230.5182,OCGT,2444
10230.5182,CCGT,10070
10230.5182,Coal,62.86081958
10231.5182,Diesel,814.7859563
10231.5182,OCGT,2444
10231.5182,CCGT,10070
10231.5182,Coal,65.37524744
10232.5182,Diesel,812.4700359
10232.5182,OCGT,2444
10232.5182,CCGT,10070
10232.5182,Coal,67.8896753
10233.5182,Diesel,810.1541155
10233.5182,OCGT,2444
10233.5182,CCGT,10070
10233.5182,Coal,70.40410316
10234.5182,Diesel,807.8381951
10234.5182,OCGT,2444
10234.5182,CCGT,10070
10234.5182,Coal,72.91853102
10235.5182,Diesel,805.5222747
10235.5182,OCGT,2444
10235.5182,CCGT,10070
10235.5182,Coal,75.43295888
10236.5182,Diesel,803.2063543
10236.5182,OCGT,2444
10236.5182,CCGT,10070
10236.5182,Coal,77.94738674
10237.5182,Diesel,800.8904339
10237.5182,OCGT,2444
10237.5182,CCGT,10070
10237.5182,Coal,80.4618146
10238.5182,Diesel,798.5745135
10238.5182,OCGT,2444
10238.5182,CCGT,10070
10238.5182,Coal,82.97624246
10239.5182,Diesel,796.2585931
10239.5182,OCGT,2444
10239.5182,CCGT,10070
10239.5182,Coal,85.49067032
10240.5182,Diesel,793.9426727
10240.5182,OCGT,2444
10240.5182,CCGT,10070
10240.5182,Coal,88.00509819
10241.5182,Diesel,791.6267523
10241.5182,OCGT,2444
10241.5182,CCGT,10070
10241.5182,Coal,90.51952605
10242.5182,Diesel,789.3108319
10242.5182,OCGT,2444
10242.5182,CCGT,10070
10242.5182,Coal,93.03395391
10243.5182,Diesel,786.9949115
10243.5182,OCGT,2444
10243.5182,CCGT,10070
10243.5182,Coal,95.54838177
10244.5182,Diesel,784.6789911
10244.5182,OCGT,2444
10244.5182,CCGT,10070
10244.5182,Coal,98.06280963
10245.5182,Diesel,782.3630707
10245.5182,OCGT,2444
10245.5182,CCGT,10070
10245.5182,Coal,100.5772375
10246.5182,Diesel,780.0471503
10246.5182,OCGT,2444
10246.5182,CCGT,10070
10246.5182,Coal,103.0916653
10247.5182,Diesel,777.7312299
10247.5182,OCGT,2444
10247.5182,CCGT,10070
10247.5182,Coal,105.6060932
10248.5182,Diesel,775.4153095
10248.5182,OCGT,2444
10248.5182,CCGT,10070
10248.5182,Coal,108.1205211
10249.5182,Diesel,773.0993891
10249.5182,OCGT,2444
10249.5182,CCGT,10070
10249.5182,Coal,110.6349489
10250.5182,Diesel,770.7834687
10250.5182,OCGT,2444
10250.5182,CCGT,10070
10250.5182,Coal,113.1493768
10251.5182,Diesel,768.4675483
10251.5182,OCGT,2444
10251.5182,CCGT,10070
10251.5182,Coal,115.6638047
10252.5182,Diesel,766.1516279
10252.5182,OCGT,2444
10252.5182,CCGT,10070
10252.5182,Coal,118.1782325
10253.5182,Diesel,763.8357075
10253.5182,OCGT,2444
10253.5182,CCGT,10070
10253.5182,Coal,120.6926604
10254.5182,Diesel,761.5197872
10254.5182,OCGT,2444
10254.5182,CCGT,10070
10254.5182,Coal,123.2070882
10255.5182,Diesel,759.2038668
10255.5182,OCGT,2444
10255.5182,CCGT,10070
10255.5182,Coal,125.7215161
10256.5182,Diesel,756.8879464
10256.5182,OCGT,2444
10256.5182,CCGT,10070
10256.5182,Coal,128.235944
10257.5182,Diesel,754.572026
10257.5182,OCGT,2444
10257.5182,CCGT,10070
10257.5182,Coal,130.7503718
10258.5182,Diesel,752.2561056
10258.5182,OCGT,2444
10258.5182,CCGT,10070
10258.5182,Coal,133.2647997
10259.5182,Diesel,749.9401852
10259.5182,OCGT,2444
10259.5182,CCGT,10070
10259.5182,Coal,135.7792275
10260.5182,Diesel,747.6242648
10260.5182,OCGT,2444
10260.5182,CCGT,10070
10260.5182,Coal,138.2936554
10261.5182,Diesel,745.3083444
10261.5182,OCGT,2444
10261.5182,CCGT,10070
10261.5182,Coal,140.8080833
10262.5182,Diesel,742.992424
10262.5182,OCGT,2444
10262.5182,CCGT,10070
10262.5182,Coal,143.3225111
10263.5182,Diesel,740.6765036
10263.5182,OCGT,2444
10263.5182,CCGT,10070
10263.5182,Coal,145.836939
10264.5182,Diesel,738.3605832
10264.5182,OCGT,2444
10264.5182,CCGT,10070
10264.5182,Coal,148.3513668
10265.5182,Diesel,736.0446628
10265.5182,OCGT,2444
10265.5182,CCGT,10070
10265.5182,Coal,150.8657947
10266.5182,Diesel,733.7287424
10266.5182,OCGT,2444
10266.5182,CCGT,10070
10266.5182,Coal,153.3802226
10267.5182,Diesel,731.412822
10267.5182,OCGT,2444
10267.5182,CCGT,10070
10267.5182,Coal,155.8946504
10268.5182,Diesel,729.0969016
10268.5182,OCGT,2444
10268.5182,CCGT,10070
10268.5182,Coal,158.4090783
10269.5182,Diesel,726.7809812
10269.5182,OCGT,2444
10269.5182,CCGT,10070
10269.5182,Coal,160.9235061
10270.5182,Diesel,724.4650608
10270.5182,OCGT,2444
10270.5182,CCGT,10070
10270.5182,Coal,163.437934
10271.5182,Diesel,722.1491404
10271.5182,OCGT,2444
10271.5182,CCGT,10070
10271.5182,Coal,165.9523619
10272.5182,Diesel,719.83322
10272.5182,OCGT,2444
10272.5182,CCGT,10070
10272.5182,Coal,168.4667897
10273.5182,Diesel,717.5172996
10273.5182,OCGT,2444
10273.5182,CCGT,10070
10273.5182,Coal,170.9812176
10274.5182,Diesel,715.2013792
10274.5182,OCGT,2444
10274.5182,CCGT,10070
10274.5182,Coal,173.4956454
10275.5182,Diesel,712.8854588
10275.5182,OCGT,2444
10275.5182,CCGT,10070
10275.5182,Coal,176.0100733
10276.5182,Diesel,710.5695384
10276.5182,OCGT,2444
10276.5182,CCGT,10070
