CO2_Limit,Generator,AP_g
2255.7305,Diesel,8312.5
2255.7305,OCGT,963.5
2255.7305,CCGT,477
2255.7305,Coal,0
2256.7305,Diesel,7985.397196
2256.7305,OCGT,1402.752336
2256.7305,CCGT,477
2256.7305,Coal,0
2257.7305,Diesel,7658.294393
2257.7305,OCGT,1842.004673
2257.7305,CCGT,477
2257.7305,Coal,0
2258.7305,Diesel,7331.191589
2258.7305,OCGT,2281.257009
2258.7305,CCGT,477
2258.7305,Coal,0
2259.7305,Diesel,7004.088785
2259.7305,OCGT,2720.509346
2259.7305,CCGT,477
2259.7305,Coal,0
2260.7305,Diesel,6676.985981
2260.7305,OCGT,3159.761682
2260.7305,CCGT,477
2260.7305,Coal,0
2261.7305,Diesel,6349.883178
2261.7305,OCGT,3599.014019
2261.7305,CCGT,477
2261.7305,Coal,0
2262.7305,Diesel,6022.780374
2262.7305,OCGT,4038.266355
2262.7305,CCGT,477
2262.7305,Coal,0
2263.7305,Diesel,5695.67757
2263.7305,OCGT,4477.518692
2263.7305,CCGT,477
2263.7305,Coal,0
2264.7305,Diesel,5515.521794
2264.7305,OCGT,4700
2264.7305,CCGT,498.9241408
2264.7305,Coal,0
2265.7305,Diesel,5486.18399
2265.7305,OCGT,4700
2265.7305,CCGT,543.3499581
2265.7305,Coal,0
2266.7305,Diesel,5456.846186
2266.7305,OCGT,4700
2266.7305,CCGT,587.7757754
2266.7305,Coal,0
2267.7305,Diesel,5427.508382
2267.7305,OCGT,4700
2267.7305,CCGT,632.2015926
2267.7305,Coal,0
2268.7305,Diesel,5398.170578
2268.7305,OCGT,4700
2268.7305,CCGT,676.6274099
2268.7305,Coal,0
2269.7305,Diesel,5368.832775
2269.7305,OCGT,4700
2269.7305,CCGT,721.0532272
2269.7305,Coal,0
2270.7305,Diesel,5339.494971
2270.7305,OCGT,4700
2270.7305,CCGT,765.4790444
2270.7305,Coal,0
2271.7305,Diesel,5310.157167
2271.7305,OCGT,4700
2271.7305,CCGT,809.9048617
2271.7305,Coal,0
2272.7305,Diesel,5280.819363
2272.7305,OCGT,4700
2272.7305,CCGT,854.330679
2272.7305,Coal,0
2273.7305,Diesel,5251.481559
2273.7305,OCGT,4700
2273.7305,CCGT,898.7564962
2273.7305,Coal,0
2274.7305,Diesel,5222.143755
2274.7305,OCGT,4700
2274.7305,CCGT,943.1823135
2274.7305,Coal,0
2275.7305,Diesel,5192.805951
2275.7305,OCGT,4700
2275.7305,CCGT,987.6081308
2275.7305,Coal,0
2276.7305,Diesel,5163.468148
2276.7305,OCGT,4700
2276.7305,CCGT,1032.033948
2276.7305,Coal,0
2277.7305,Diesel,5134.130344
2277.7305,OCGT,4700
2277.7305,CCGT,1076.459765
2277.7305,Coal,0
2278.7305,Diesel,5104.79254
2278.7305,OCGT,4700
2278.7305,CCGT,1120.885583
2278.7305,Coal,0
2279.7305,Diesel,5075.454736
2279.7305,OCGT,4700
2279.7305,CCGT,1165.3114
2279.7305,Coal,0
2280.7305,Diesel,5046.116932
2280.7305,OCGT,4700
2280.7305,CCGT,1209.737217
2280.7305,Coal,0
2281.7305,Diesel,5016.779128
2281.7305,OCGT,4700
2281.7305,CCGT,1254.163034
2281.7305,Coal,0
2282.7305,Diesel,4987.441324
2282.7305,OCGT,4700
2282.7305,CCGT,1298.588852
2282.7305,Coal,0
2283.7305,Diesel,4958.103521
2283.7305,OCGT,4700
2283.7305,CCGT,1343.014669
2283.7305,Coal,0
2284.7305,Diesel,4928.765717
2284.7305,OCGT,4700
2284.7305,CCGT,1387.440486
2284.7305,Coal,0
2285.7305,Diesel,4899.427913
2285.7305,OCGT,4700
2285.7305,CCGT,1431.866303
2285.7305,Coal,0
2286.7305,Diesel,4870.090109
2286.7305,OCGT,4700
2286.7305,CCGT,1476.292121
2286.7305,Coal,0
2287.7305,Diesel,4840.752305
2287.7305,OCGT,4700
2287.7305,CCGT,1520.717938
2287.7305,Coal,0
2288.7305,Diesel,4811.414501
2288.7305,OCGT,4700
2288.7305,CCGT,1565.143755
2288.7305,Coal,0
2289.7305,Diesel,4782.076697
2289.7305,OCGT,4700
2289.7305,CCGT,1609.569573
2289.7305,Coal,0
2290.7305,Diesel,4752.738894
2290.7305,OCGT,4700
2290.7305,CCGT,1653.99539
2290.7305,Coal,0
2291.7305,Diesel,4723.40109
2291.7305,OCGT,4700
2291.7305,CCGT,1698.421207
2291.7305,Coal,0
2292.7305,Diesel,4694.063286
2292.7305,OCGT,4700
2292.7305,CCGT,1742.847024
2292.7305,Coal,0
2293.7305,Diesel,4664.725482
2293.7305,OCGT,4700
2293.7305,CCGT,1787.272842
2293.7305,Coal,0
2294.7305,Diesel,4635.387678
2294.7305,OCGT,4700
2294.7305,CCGT,1831.698659
2294.7305,Coal,0
2295.7305,Diesel,4606.049874
2295.7305,OCGT,4700
2295.7305,CCGT,1876.124476
2295.7305,Coal,0
2296.7305,Diesel,4576.71207
2296.7305,OCGT,4700
2296.7305,CCGT,1920.550293
2296.7305,Coal,0
2297.7305,Diesel,4547.374267
2297.7305,OCGT,4700
2297.7305,CCGT,1964.976111
2297.7305,Coal,0
