CO2_Limit,Generator,AP_g
2255.7305,Diesel,349125
2255.7305,OCGT,40467
2255.7305,CCGT,20034
2255.7305,Coal,0
2256.7305,Diesel,335386.6822
2256.7305,OCGT,58915.59813
2256.7305,CCGT,20034
2256.7305,Coal,0
2257.7305,Diesel,321648.3645
2257.7305,OCGT,77364.19626
2257.7305,CCGT,20034
2257.7305,Coal,0
2258.7305,Diesel,307910.0467
2258.7305,OCGT,95812.79439
2258.7305,CCGT,20034
2258.7305,Coal,0
2259.7305,Diesel,294171.729
2259.7305,OCGT,114261.3925
2259.7305,CCGT,20034
2259.7305,Coal,0
2260.7305,Diesel,280433.4112
2260.7305,OCGT,132709.9907
2260.7305,CCGT,20034
2260.7305,Coal,0
2261.7305,Diesel,266695.0935
2261.7305,OCGT,151158.5888
2261.7305,CCGT,20034
2261.7305,Coal,0
2262.7305,Diesel,252956.7757
2262.7305,OCGT,169607.1869
2262.7305,CCGT,20034
2262.7305,Coal,0
2263.7305,Diesel,239218.4579
2263.7305,OCGT,188055.785
2263.7305,CCGT,20034
2263.7305,Coal,0
2264.7305,Diesel,231651.9153
2264.7305,OCGT,197400
2264.7305,CCGT,20954.81391
2264.7305,Coal,0
2265.7305,Diesel,230419.7276
2265.7305,OCGT,197400
2265.7305,CCGT,22820.69824
2265.7305,Coal,0
2266.7305,Diesel,229187.5398
2266.7305,OCGT,197400
2266.7305,CCGT,24686.58256
2266.7305,Coal,0
2267.7305,Diesel,227955.3521
2267.7305,OCGT,197400
2267.7305,CCGT,26552.46689
2267.7305,Coal,0
2268.7305,Diesel,226723.1643
2268.7305,OCGT,197400
2268.7305,CCGT,28418.35122
2268.7305,Coal,0
2269.7305,Diesel,225490.9765
2269.7305,OCGT,197400
2269.7305,CCGT,30284.23554
2269.7305,Coal,0
2270.7305,Diesel,224258.7888
2270.7305,OCGT,197400
2270.7305,CCGT,32150.11987
2270.7305,Coal,0
2271.7305,Diesel,223026.601
2271.7305,OCGT,197400
2271.7305,CCGT,34016.00419
2271.7305,Coal,0
2272.7305,Diesel,221794.4132
2272.7305,OCGT,197400
2272.7305,CCGT,35881.88852
2272.7305,Coal,0
2273.7305,Diesel,220562.2255
2273.7305,OCGT,197400
2273.7305,CCGT,37747.77284
2273.7305,Coal,0
2274.7305,Diesel,219330.0377
2274.7305,OCGT,197400
2274.7305,CCGT,39613.65717
2274.7305,Coal,0
2275.7305,Diesel,218097.85
2275.7305,OCGT,197400
2275.7305,CCGT,41479.54149
2275.7305,Coal,0
2276.7305,Diesel,216865.6622
2276.7305,OCGT,197400
2276.7305,CCGT,43345.42582
2276.7305,Coal,0
2277.7305,Diesel,215633.4744
2277.7305,OCGT,197400
2277.7305,CCGT,45211.31014
2277.7305,Coal,0
2278.7305,Diesel,214401.2867
2278.7305,OCGT,197400
2278.7305,CCGT,47077.19447
2278.7305,Coal,0
