CO2_Limit,AC
2255.7305,2751000
2256.7305,2694925.234
2257.7305,2638850.467
2258.7305,2582775.701
2259.7305,2526700.935
2260.7305,2470626.168
2261.7305,2414551.402
2262.7305,2358476.636
2263.7305,2302401.869
2264.7305,2271104.359
2265.7305,2265236.798
2266.7305,2259369.237
2267.7305,2253501.676
2268.7305,2247634.116
2269.7305,2241766.555
2270.7305,2235898.994
2271.7305,2230031.433
2272.7305,2224163.873
2273.7305,2218296.312
2274.7305,2212428.751
2275.7305,2206561.19
2276.7305,2200693.63
2277.7305,2194826.069
2278.7305,2188958.508
2279.7305,2183090.947
2280.7305,2177223.386
2281.7305,2171355.826
2282.7305,2165488.265
2283.7305,2159620.704
2284.7305,2153753.143
2285.7305,2147885.583
2286.7305,2142018.022
2287.7305,2136150.461
2288.7305,2130282.9
2289.7305,2124415.339
2290.7305,2118547.779
2291.7305,2112680.218
2292.7305,2106812.657
2293.7305,2100945.096
2294.7305,2095077.536
2295.7305,2089209.975
2296.7305,2083342.414
2297.7305,2077474.853
2298.7305,2071607.293
2299.7305,2065739.732
2300.7305,2059872.171
2301.7305,2054004.61
2302.7305,2048137.049
2303.7305,2042269.489
2304.7305,2036401.928
2305.7305,2030534.367
2306.7305,2024666.806
2307.7305,2018799.246
2308.7305,2012931.685
2309.7305,2007064.124
2310.7305,2001196.563
2311.7305,1995329.003
2312.7305,1989461.442
2313.7305,1983593.881
2314.7305,1977726.32
2315.7305,1971858.759
2316.7305,1965991.199
2317.7305,1960123.638
2318.7305,1954256.077
2319.7305,1948388.516
2320.7305,1942520.956
2321.7305,1936653.395
2322.7305,1930785.834
2323.7305,1924918.273
2324.7305,1919050.712
2325.7305,1913183.152
2326.7305,1907315.591
2327.7305,1901448.03
2328.7305,1895580.469
2329.7305,1889712.909
2330.7305,1883845.348
2331.7305,1877977.787
2332.7305,1872110.226
2333.7305,1866242.666
2334.7305,1860375.105
2335.7305,1854507.544
2336.7305,1848639.983
2337.7305,1842772.422
2338.7305,1836904.862
2339.7305,1831037.301
2340.7305,1825169.74
2341.7305,1819302.179
2342.7305,1813434.619
2343.7305,1807567.058
2344.7305,1801699.497
2345.7305,1795831.936
2346.7305,1789964.376
2347.7305,1784096.815
2348.7305,1778229.254
2349.7305,1772361.693
2350.7305,1766494.132
2351.7305,1760626.572
2352.7305,1754759.011
2353.7305,1748891.45
2354.7305,1743023.889
2355.7305,1737156.329
2356.7305,1731288.768
2357.7305,1725421.207
2358.7305,1719553.646
2359.7305,1713686.085
2360.7305,1707818.525
2361.7305,1701950.964
2362.7305,1696083.403
2363.7305,1690215.842
2364.7305,1684348.282
2365.7305,1678480.721
2366.7305,1672613.16
2367.7305,1666745.599
2368.7305,1660878.039
2369.7305,1655010.478
2370.7305,1649142.917
2371.7305,1643275.356
2372.7305,1637407.795
2373.7305,1631540.235
2374.7305,1625672.674
2375.7305,1619805.113
2376.7305,1613937.552
2377.7305,1608069.992
2378.7305,1602202.431
2379.7305,1596334.87
2380.7305,1590467.309
2381.7305,1584599.749
2382.7305,1578732.188
2383.7305,1572864.627
2384.7305,1566997.066
2385.7305,1561129.505
2386.7305,1555261.945
2387.7305,1549394.384
2388.7305,1543526.823
2389.7305,1537659.262
2390.7305,1531791.702
2391.7305,1525924.141
2392.7305,1520056.58
